ANO_ELEICAO_ANALISE,ESFERA,SG_UF,grupo_religioso,votos,total_recorte,pct_votos,comparacao,codarea
2020,municipal,PB,Direita,24691,29080,0.8490715268225585,cristaos_direita_vs_esquerda,25
2020,municipal,PB,Esquerda,4389,29080,0.15092847317744154,cristaos_direita_vs_esquerda,25
2020,municipal,PE,Direita,67053,84979,0.7890537662245967,cristaos_direita_vs_esquerda,26
2020,municipal,PE,Esquerda,17926,84979,0.21094623377540334,cristaos_direita_vs_esquerda,26
2020,municipal,PI,Direita,28061,37492,0.7484530033073722,cristaos_direita_vs_esquerda,22
2020,municipal,PI,Esquerda,9431,37492,0.25154699669262776,cristaos_direita_vs_esquerda,22
2020,municipal,PR,Direita,70471,83954,0.8394001476999309,cristaos_direita_vs_esquerda,41
2020,municipal,PR,Esquerda,13483,83954,0.1605998523000691,cristaos_direita_vs_esquerda,41
2020,municipal,RJ,Direita,105346,138717,0.7594310718945767,cristaos_direita_vs_esquerda,33
2020,municipal,RJ,Esquerda,33371,138717,0.24056892810542327,cristaos_direita_vs_esquerda,33
2020,municipal,RN,Direita,12530,16743,0.7483724541599475,cristaos_direita_vs_esquerda,24
2020,municipal,RN,Esquerda,4213,16743,0.25162754584005254,cristaos_direita_vs_esquerda,24
2020,municipal,RO,Direita,11924,19766,0.6032581200040473,cristaos_direita_vs_esquerda,11
2020,municipal,RO,Esquerda,7842,19766,0.3967418799959527,cristaos_direita_vs_esquerda,11
2020,municipal,RR,Direita,5951,7573,0.7858180377657468,cristaos_direita_vs_esquerda,14
2020,municipal,RR,Esquerda,1622,7573,0.21418196223425326,cristaos_direita_vs_esquerda,14
2020,municipal,RS,Direita,37847,55905,0.6769877470709239,cristaos_direita_vs_esquerda,43
2020,municipal,RS,Esquerda,18058,55905,0.3230122529290761,cristaos_direita_vs_esquerda,43
2020,municipal,SC,Direita,36794,42431,0.8671490184063538,cristaos_direita_vs_esquerda,42
2020,municipal,SC,Esquerda,5637,42431,0.13285098159364617,cristaos_direita_vs_esquerda,42
